,Name,Rating,Popularity,Studio,Type,Genres,Era
0,Fullmetal Alchemist: Brotherhood,9.25,999283.0,Bones,TV,Action/Military/Adventure/Comedy/Drama/Magic/Fantasy/Shounen,New
1,Kimi no Na wa.,9.24,498489.0,CoMix Wave Films,Movie,Supernatural/Drama/Romance/School,New
3,Owarimonogatari 2nd Season,9.16,69349.0,Shaft,TV,Mystery/Comedy/Supernatural,New
4,Steins;Gate,9.15,850393.0,White Fox,TV,Sci-Fi/Thriller,New
5,Gintama',9.13,186327.0,Sunrise,TV,Action/Sci-Fi/Comedy/Historical/Parody/Samurai/Shounen,New
6,Hunter x Hunter (2011),9.12,581860.0,Madhouse,TV,Action/Adventure/Super Power/Shounen,New
8,Gintama': Enchousen,9.08,104015.0,Sunrise,TV,Action/Comedy/Historical/Parody/Samurai/Sci-Fi/Shounen,New
9,Koe no Katachi,9.07,325034.0,Kyoto Animation,Movie,Drama/School/Shounen,New
10,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,9.06,91059.0,Sunrise,Movie,Action/Sci-Fi/Comedy/Historical/Parody/Samurai/Shounen,New
11,Gintama.,9.04,67858.0,Bandai Namco Pictures,TV,Action/Comedy/Historical/Parody/Samurai/Sci-Fi/Shounen,New
12,Clannad: After Story,9.03,540108.0,Kyoto Animation,TV,Drama/Fantasy/Romance/Slice of Life/Supernatural,New
13,Gintama,9.02,403869.0,Sunrise,TV,Action/Sci-Fi/Comedy/Historical/Parody/Samurai/Shounen,Classic
14,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.01,189966.0,Production I.G,TV,Comedy/Sports/Drama/School/Shounen,New
15,Code Geass: Hangyaku no Lelouch R2,8.96,691925.0,Sunrise,TV,Action/Military/Sci-Fi/Super Power/Drama/Mecha,New
16,Kizumonogatari III: Reiketsu-hen,8.92,85213.0,Shaft,Movie,Action/Mystery/Supernatural/Vampire,New
17,Sen to Chihiro no Kamikakushi,8.92,596149.0,Studio Ghibli,Movie,Adventure/Supernatural/Drama,Classic
18,Haikyuu!! Second Season,8.9,266744.0,Production I.G,TV,Comedy/Sports/Drama/School/Shounen,New
19,Shigatsu wa Kimi no Uso,8.9,580324.0,A-1 Pictures,TV,Drama/Music/Romance/School/Shounen,New
20,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.88,54417.0,Studio Deen,TV,Drama/Josei,New
21,Mushishi Zoku Shou 2nd Season,8.85,99134.0,Artland,TV,Adventure/Fantasy/Historical/Mystery/Seinen/Slice of Life/Supernatural,New
22,Boku no Hero Academia 2nd Season,8.83,340314.0,Bones,TV,Action/Comedy/Super Power/School/Shounen,New
23,Cowboy Bebop,8.81,602207.0,Sunrise,TV,Action/Adventure/Comedy/Drama/Sci-Fi/Space,Classic
24,Hajime no Ippo,8.81,195622.0,Madhouse,TV,Comedy/Sports/Drama/Shounen,Classic
26,Code Geass: Hangyaku no Lelouch,8.8,862582.0,Sunrise,TV,Action/Mecha/Military/School/Sci-Fi/Super Power,Classic
27,Mononoke Hime,8.8,431598.0,Studio Ghibli,Movie,Action/Adventure/Fantasy,Classic
28,Ookami Kodomo no Ame to Yuki,8.8,299034.0,Studio Chizu,Movie,Slice of Life/Fantasy,New
29,Mushishi Zoku Shou,8.78,126029.0,Artland,TV,Adventure/Slice of Life/Mystery/Historical/Supernatural/Fantasy/Seinen,New
30,Natsume Yuujinchou Roku,8.78,47004.0,Shuka,TV,Slice of Life/Supernatural/Drama/Fantasy/Shoujo,New
31,Monogatari Series: Second Season,8.77,260707.0,Shaft,TV,Mystery/Comedy/Supernatural/Romance/Vampire,New
32,Mushishi,8.76,358412.0,Artland,TV,Adventure/Fantasy/Historical/Mystery/Seinen/Slice of Life/Supernatural,Classic
33,One Punch Man,8.76,801900.0,Madhouse,TV,Action/Sci-Fi/Comedy/Parody/Super Power/Supernatural/Seinen,New
34,Suzumiya Haruhi no Shoushitsu,8.76,286245.0,Kyoto Animation,Movie,Comedy/Mystery/Romance/School/Sci-Fi/Supernatural,New
35,Great Teacher Onizuka,8.75,318739.0,Studio Pierrot,TV,Comedy/Drama/School/Shounen/Slice of Life,Classic
36,Tengen Toppa Gurren Lagann,8.75,683061.0,Gainax,TV,Action/Adventure/Comedy/Mecha/Sci-Fi,New
37,Hajime no Ippo: New Challenger,8.74,108987.0,Madhouse,TV,Comedy/Sports/Drama/Shounen,New
38,Howl no Ugoku Shiro,8.74,413253.0,Studio Ghibli,Movie,Adventure/Drama/Fantasy/Romance,Classic
39,Kizumonogatari II: Nekketsu-hen,8.74,96371.0,Shaft,Movie,Action/Mystery/Supernatural/Vampire,New
40,Natsume Yuujinchou Shi,8.74,119056.0,Brain's Base,TV,Slice of Life/Supernatural/Drama/Fantasy/Shoujo,New
41,Mushishi Zoku Shou: Suzu no Shizuku,8.72,45449.0,Artland,Movie,Slice of Life/Adventure/Fantasy/Supernatural/Historical/Mystery/Seinen,New
42,Violet Evergarden,8.72,97468.0,Kyoto Animation,TV,Drama/Fantasy,New
43,Bakuman. 3rd Season,8.69,161200.0,J.C.Staff,TV,Comedy/Drama/Romance/Shounen,New
44,Fate/Zero 2nd Season,8.69,427899.0,ufotable,TV,Action/Supernatural/Thriller/Fantasy,New
45,Monster,8.69,304641.0,Madhouse,TV,Drama/Horror/Mystery/Police/Psychological/Seinen/Thriller,Classic
