,Unnamed: 0.1.1,Name,Score
1,1.0,Ao no Exorcist,8
2,2.0,Darker than Black: Kuro no Keiyakusha,7
3,3.0,Death Note,9
4,4.0,Doukyuusei (Movie),8
6,6.0,Fairy Tail,8
7,7.0,Fairy Tail Movie 1: Houou no Miko,8
9,9.0,Free!,8
10,10.0,Free!: Eternal Summer,9
12,12.0,Fullmetal Alchemist,7
13,13.0,Fullmetal Alchemist: Brotherhood,9
14,14.0,Fullmetal Alchemist: The Sacred Star of Milos,7
17,17.0,Gekkan Shoujo Nozaki-kun,9
18,18.0,Golden Time,7
20,20.0,Hitorijime My Hero,10
21,21.0,Hotarubi no Mori e,10
23,23.0,Hyouka,8
24,24.0,Junjou Romantica,7
25,25.0,Junjou Romantica 2,7
26,26.0,Junjou Romantica 3,8
27,27.0,Kaichou wa Maid-sama!,7
29,29.0,Kimi ni Todoke,9
30,30.0,Kimi ni Todoke 2nd Season,10
32,32.0,Kiseijuu: Sei no Kakuritsu,8
33,33.0,Kotonoha no Niwa,10
34,34.0,Kuroko no Basket,6
35,35.0,Kyoukai no Kanata,8
36,36.0,Love Stage!!,10
39,39.0,Mahouka Koukou no Rettousei,9
42,42.0,Mirai Nikki (TV),9
43,43.0,Monster,9
44,44.0,Naruto,7
45,45.0,Naruto: Shippuuden,9
46,46.0,Noragami,10
47,47.0,Ookami Kodomo no Ame to Yuki,9
48,48.0,Ookami Shoujo to Kuro Ouji,8
49,49.0,Ouran Koukou Host Club,7
50,50.0,Owari no Seraph,9
51,51.0,Owari no Seraph: Nagoya Kessen-hen,9
52,52.0,Sekaiichi Hatsukoi,9
53,53.0,Sekaiichi Hatsukoi 2,8
54,54.0,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,8
55,55.0,Sen to Chihiro no Kamikakushi,7
56,56.0,Shingeki no Kyojin,7
58,58.0,Super Lovers,8
59,59.0,Suzumiya Haruhi no Shoushitsu,9
60,60.0,Sword Art Online,7
61,61.0,Tamako Love Story,8
63,63.0,The Last: Naruto the Movie,9
66,66.0,Tokyo Ghoul,6
67,67.0,Tonari no Kaibutsu-kun,7
68,68.0,Toradora!,7
70,70.0,Trinity Seven,7
71,71.0,Uragiri wa Boku no Namae wo Shitteiru,7
72,72.0,Yuri!!! on Ice,9
73,73.0,Zankyou no Terror,10
